station_id,name,lat,long,install_dockcount,current_dockcount,install_date_10/13/2014,install_date_10/29/2015,install_date_3/18/2016,install_date_5/22/2015,install_date_6/12/2015,install_date_7/27/2015,install_date_7/3/2016,install_date_8/9/2016,install_date_9/15/2015,modification_date_10/29/2015,modification_date_11/2/2015,modification_date_11/9/2015,modification_date_2/20/2015,modification_date_2/23/2015,modification_date_2/24/2015,modification_date_3/13/2015,modification_date_3/18/2016,modification_date_3/24/2015,modification_date_3/27/2015,modification_date_3/4/2015,modification_date_8/9/2016,decommission_date_10/29/2015,decommission_date_3/18/2016,decommission_date_7/2/2016,decommission_date_8/9/2016
44,19,2.187723743848633,1.7367383155015386,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,36,1.7720245927278235,0.9380017670767818,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,3,1.6718695089719777,0.7838253126566543,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,37,2.0288935476331105,0.8198402849491735,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,55,1.8767826835029786,1.5118133480944314,-0.5227272727272722,-3.2560933767890874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,18,1.8496937226560866,1.135746895843362,-1.8409090909090902,-0.49623134969854577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,5,1.62927846701512,1.035390568556073,0.1363636363636369,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,52,1.5775872272741878,1.5093179286664815,-1.8409090909090902,-0.49623134969854577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,53,1.5299699132858569,1.6914835469470635,0.795454545454546,-0.49623134969854577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,54,1.3718804308435006,1.0827360939294923,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
